timestep,clearance,violation,near_miss,shield_used,shield_reason,eps,inflate,ctx_id,crashed,speed,calib_resid,adj_risk,adj_unsafe,adj_s_env,adj_s_agent,adj_eps_override,budget_bt,budget_rem,budget_filtered,budget_risk
95,31.792861938476562,0,0,1,fallback,28.834537506103516,28.334537506103516,23,0,25.0,9.159268951416013,0.0,0,0.0,0.0,,,,0,
96,37.25022354125978,0,0,0,original_ok,28.80443572998047,28.30443572998047,23,0,21.94129753112792,5.5822684288025,0.0,0,0.0,0.0,,,,0,
97,10.472160339355469,0,0,1,fallback,28.774333953857422,28.274333953857422,23,0,25.0,24.889136886596678,0.0,0,0.0,0.0,,,,0,
98,22.576343536376953,0,0,1,fallback,28.744232177734375,28.244232177734375,23,0,25.0,9.704183197021482,0.0,0,0.0,0.0,,,,0,
99,11.488811492919922,0,0,1,fallback,28.714130401611328,28.214130401611328,23,0,25.0,25.432613945007322,0.0,0,0.0,0.0,,,,0,
100,25.792381286621094,0,0,1,fallback,28.68402862548828,28.18402862548828,23,0,25.0,11.90356979370117,0.0,0,0.0,0.0,,,,0,
101,9.422496795654297,0,0,1,fallback,28.653928756713867,28.153928756713867,23,0,25.0,24.804589843749998,0.0,0,0.0,0.0,,,,0,
102,18.550865173339844,0,0,1,fallback,28.62382698059082,28.12382698059082,23,0,25.0,6.728368377685545,0.0,0,0.0,0.0,,,,0,
103,12.614227294921875,0,0,1,fallback,28.616729736328125,28.116729736328125,23,0,25.0,25.71232566833496,0.0,0,0.0,0.0,,,,0,
104,11.623371124267578,0,0,1,fallback,28.60963249206543,28.10963249206543,23,0,25.0,24.11284027099609,0.0,0,0.0,0.0,,,,0,
105,24.804012298583984,0,0,1,fallback,28.602535247802734,28.102535247802734,23,0,25.0,10.780641174316404,0.0,0,0.0,0.0,,,,0,
106,13.418060302734375,0,0,1,fallback,28.59543800354004,28.09543800354004,23,0,25.0,24.98720893859863,0.0,0,0.0,0.0,,,,0,
107,9.040546417236328,0,0,1,fallback,28.588340759277344,28.088340759277344,23,0,25.0,23.868570899963377,0.0,0,0.0,0.0,,,,0,
108,20.56832504272461,0,0,1,fallback,28.58124351501465,28.08124351501465,23,0,25.0,9.12777862548828,0.0,0,0.0,0.0,,,,0,
109,12.997383117675781,0,0,1,fallback,28.574146270751953,28.074146270751953,23,0,25.0,26.18344268798828,0.0,0,0.0,0.0,,,,0,
110,6.964450836181641,0,0,1,fallback,28.567049026489258,28.067049026489258,23,0,25.0,23.984601593017576,0.0,0,0.0,0.0,,,,0,
111,18.43866729736328,0,0,1,fallback,28.559951782226562,28.059951782226562,23,0,25.0,9.074216461181638,0.0,0,0.0,0.0,,,,0,
112,32.33684539794922,0,0,1,fallback,28.552854537963867,28.052854537963867,23,0,25.0,11.498178100585935,0.0,0,0.0,0.0,,,,0,
113,59.26025619506835,0,0,1,feasible_alt,28.493160247802734,27.993160247802734,23,0,28.688543319702156,25.72341079711913,0.0,0,0.0,0.0,,,,0,
114,8.462669372558594,0,0,1,fallback,28.433469772338867,27.933469772338867,23,0,25.0,25.35599670410156,0.0,0,0.0,0.0,,,,0,
115,22.462791442871094,0,0,1,fallback,28.373781204223633,27.873781204223633,23,0,25.0,11.600122070312498,0.0,0,0.0,0.0,,,,0,
116,10.64572525024414,0,0,1,fallback,28.314090728759766,27.814090728759766,23,0,25.0,25.576417541503904,0.0,0,0.0,0.0,,,,0,
117,24.003440856933594,0,0,1,fallback,28.25440216064453,27.75440216064453,23,0,25.0,10.957715606689451,0.0,0,0.0,0.0,,,,0,
118,7.001041412353516,0,0,1,fallback,28.194705963134766,27.694705963134766,23,0,25.0,23.553273773193357,0.0,0,0.0,0.0,,,,0,
119,18.476715087890625,0,0,1,fallback,28.13501739501953,27.63501739501953,23,0,25.0,9.075673675537107,0.0,0,0.0,0.0,,,,0,
120,10.881301879882812,0,0,1,fallback,28.075326919555664,27.575326919555664,14,0,25.0,26.886346435546873,0.0,0,0.0,0.0,,,,0,
121,24.32823944091797,0,0,1,fallback,28.01563835144043,27.51563835144043,14,0,25.0,11.046937561035154,0.0,0,0.0,0.0,,,,0,
122,16.283123016357422,0,0,1,fallback,27.955947875976562,27.455947875976562,14,0,25.0,26.612964248657224,0.0,0,0.0,0.0,,,,0,
123,14.260208129882812,0,0,1,fallback,27.898984909057617,27.398984909057617,14,0,25.0,27.101512527465818,0.0,0,0.0,0.0,,,,0,
124,11.532028198242188,0,0,1,fallback,27.885059356689453,27.385059356689453,14,0,25.0,25.60265598297119,0.0,0,0.0,0.0,,,,0,
125,23.869888305664062,0,0,1,fallback,27.84961700439453,27.34961700439453,14,0,25.0,9.937860107421873,0.0,0,0.0,0.0,,,,0,
126,35.675743103027344,0,0,1,fallback,27.814172744750977,27.314172744750977,14,0,25.0,9.40585479736328,0.0,0,0.0,0.0,,,,0,
127,60.11945419311522,0,0,1,feasible_alt,27.778730392456055,27.278730392456055,14,0,29.940267562866225,23.24371109008787,0.0,0,0.0,0.0,,,,0,
128,10.422542572021484,0,0,1,fallback,27.743284225463867,27.243284225463867,14,0,25.0,26.123607254028318,0.0,0,0.0,0.0,,,,0,
129,8.108528137207031,0,0,1,fallback,27.707841873168945,27.207841873168945,10,0,25.0,19.470073318481443,0.0,0,0.0,0.0,,,,0,
